
Squewed-Squewed Bin Size of Forest Test
Best Accuracy: (201,0.009950248756218905,2147483647,(1.0,1.0),0.3333333333333333) (TP, FN, FP, TN)(6587,369,2449,567)

Test : (6624,353,2419,583)
Accuracy,Recall,Precision,F1
0.7222166549754484,0.9494051884764225,0.7325002764569281,0.8269662921348316
--------------------------------------------
--------------------------------------------
Actual, Assigned
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
FALSE,FALSE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
FALSE,TRUE
FALSE,FALSE
TRUE,TRUE
TRUE,TRUE
FALSE,FALSE
FALSE,FALSE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,FALSE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,FALSE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
FALSE,TRUE
FALSE,TRUE
TRUE,FALSE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,FALSE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,FALSE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,FALSE
TRUE,TRUE
FALSE,TRUE
FALSE,TRUE
TRUE,FALSE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,FALSE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,FALSE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,FALSE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
FALSE,FALSE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,FALSE
TRUE,FALSE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,FALSE
FALSE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,FALSE
TRUE,TRUE
FALSE,FALSE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
FALSE,TRUE
FALSE,FALSE
TRUE,FALSE
FALSE,FALSE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
FALSE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
FALSE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,FALSE
FALSE,TRUE
TRUE,TRUE
FALSE,TRUE
FALSE,TRUE
FALSE,FALSE
FALSE,TRUE
FALSE,TRUE
TRUE,FALSE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,FALSE
TRUE,TRUE
FALSE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
FALSE,FALSE
TRUE,TRUE
FALSE,FALSE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
FALSE,FALSE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
FALSE,TRUE
FALSE,TRUE
TRUE,FALSE
TRUE,FALSE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,FALSE
TRUE,TRUE
TRUE,TRUE
FALSE,FALSE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,FALSE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,FALSE
TRUE,TRUE
TRUE,TRUE
TRUE,FALSE
TRUE,TRUE
TRUE,TRUE
FALSE,FALSE
TRUE,FALSE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,FALSE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,FALSE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
FALSE,FALSE
FALSE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
FALSE,TRUE
FALSE,TRUE
TRUE,TRUE
FALSE,TRUE
FALSE,FALSE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,FALSE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,FALSE
FALSE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
FALSE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
FALSE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,FALSE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
FALSE,FALSE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,FALSE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,FALSE
TRUE,FALSE
TRUE,TRUE
TRUE,TRUE
FALSE,FALSE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,FALSE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,FALSE
TRUE,TRUE
TRUE,TRUE
TRUE,FALSE
FALSE,FALSE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
FALSE,TRUE
FALSE,FALSE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
FALSE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,FALSE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
FALSE,FALSE
FALSE,FALSE
TRUE,TRUE
FALSE,TRUE
TRUE,FALSE
TRUE,TRUE
FALSE,FALSE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
FALSE,FALSE
FALSE,TRUE
FALSE,TRUE
FALSE,TRUE
FALSE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,FALSE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,FALSE
FALSE,TRUE
FALSE,FALSE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,FALSE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
FALSE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
FALSE,TRUE
FALSE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,FALSE
TRUE,FALSE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
FALSE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,FALSE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
FALSE,TRUE
FALSE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,FALSE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
FALSE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
FALSE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
FALSE,FALSE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,FALSE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,FALSE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,FALSE
FALSE,FALSE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
FALSE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,FALSE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,FALSE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,FALSE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
FALSE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,FALSE
TRUE,TRUE
FALSE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
FALSE,TRUE
TRUE,FALSE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
FALSE,TRUE
FALSE,TRUE
FALSE,TRUE
FALSE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
FALSE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
FALSE,FALSE
FALSE,FALSE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,FALSE
TRUE,FALSE
TRUE,TRUE
TRUE,FALSE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,FALSE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
FALSE,TRUE
FALSE,TRUE
FALSE,FALSE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,FALSE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,FALSE
TRUE,TRUE
TRUE,FALSE
FALSE,FALSE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,FALSE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,FALSE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,FALSE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
FALSE,FALSE
TRUE,TRUE
FALSE,TRUE
TRUE,FALSE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
FALSE,FALSE
FALSE,FALSE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,FALSE
TRUE,TRUE
FALSE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,FALSE
TRUE,TRUE
TRUE,TRUE
TRUE,FALSE
TRUE,TRUE
FALSE,TRUE
FALSE,FALSE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,FALSE
TRUE,FALSE
FALSE,TRUE
TRUE,TRUE
FALSE,FALSE
FALSE,FALSE
TRUE,TRUE
FALSE,FALSE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,FALSE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,FALSE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,FALSE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,FALSE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,FALSE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,FALSE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,FALSE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,FALSE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
FALSE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,FALSE
TRUE,TRUE
TRUE,TRUE
TRUE,FALSE
FALSE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
FALSE,TRUE
TRUE,TRUE
FALSE,FALSE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,FALSE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,FALSE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
FALSE,TRUE
FALSE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
FALSE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,FALSE
TRUE,TRUE
FALSE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,FALSE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
FALSE,TRUE
TRUE,TRUE
FALSE,FALSE
TRUE,FALSE
TRUE,FALSE
FALSE,TRUE
TRUE,FALSE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,FALSE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
FALSE,TRUE
TRUE,FALSE
TRUE,TRUE
TRUE,TRUE
FALSE,FALSE
FALSE,FALSE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,FALSE
FALSE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,FALSE
FALSE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,FALSE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,FALSE
FALSE,TRUE
FALSE,FALSE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,FALSE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,FALSE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
FALSE,FALSE
FALSE,FALSE
FALSE,TRUE
TRUE,TRUE
TRUE,TRUE
TRUE,TRUE
